Samples,YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2726165,2015,6,21,7,WN,966,N7750A,SDF,MDW,1035,1037,2,7,1044,70,80,49,271,1033,24,1045,1057,12,0,0,,,,,,
311589,2015,1,21,3,AA,4,N799AA,LAX,JFK,1230,1221,-9,10,1231,336,303,282,2475,2013,11,2106,2024,-42,0,0,,,,,,
5522604,2015,12,12,6,AA,2512,N012AA,MIA,ATL,1959,1957,-2,15,2012,123,116,93,594,2145,8,2202,2153,-9,0,0,,,,,,
3798262,2015,8,24,1,DL,1939,N318NB,ATL,PIT,1204,1201,-3,15,1216,100,93,71,526,1327,7,1344,1334,-10,0,0,,,,,,
2298291,2015,5,26,2,HA,334,N477HA,HNL,OGG,1500,1455,-5,9,1504,37,41,22,100,1526,10,1537,1536,-1,0,0,,,,,,
2983228,2015,7,6,1,WN,3144,N608SW,TUS,LAX,1955,2008,13,11,2019,90,87,66,451,2125,10,2125,2135,10,0,0,,,,,,
498867,2015,2,2,1,UA,1093,N37437,LAS,EWR,2130,2131,1,16,2147,285,276,249,2227,456,11,515,507,-8,0,0,,,,,,
25973,2015,1,2,5,MQ,3637,N524MQ,XNA,ORD,1705,1758,53,10,1808,110,148,68,522,1916,70,1855,2026,91,0,0,,38,0,0,51,2
1383369,2015,3,30,1,DL,2064,N989DL,SDF,ATL,1815,1810,-5,34,1844,97,99,56,321,1940,9,1952,1949,-3,0,0,,,,,,
545521,2015,2,5,4,WN,1529,N7748A,DEN,BOI,2135,2132,-3,12,2144,125,115,100,649,2324,3,2340,2327,-13,0,0,,,,,,
3191104,2015,7,19,7,UA,1076,N69816,ORD,SFO,820,822,2,19,841,280,284,259,1846,1100,6,1100,1106,6,0,0,,,,,,
3658355,2015,8,15,6,AA,765,N807AW,CLT,STL,1820,1816,-4,52,1908,120,142,88,575,1936,2,1920,1938,18,0,0,,18,0,0,0,0
1399369,2015,3,31,2,WN,136,N407WN,SJC,PDX,1735,1730,-5,9,1739,100,95,83,569,1902,3,1915,1905,-10,0,0,,,,,,
351083,2015,1,23,5,WN,2413,N947WN,MDW,LGA,2020,,,,,120,,,725,,,2320,,,0,1,B,,,,,
4830378,2015,10,29,4,AA,435,N665AW,10397,14107,755,750,-5,12,802,260,243,226,1587,848,5,915,853,-22,0,0,,,,,,
2499437,2015,6,7,7,EV,5100,N538CA,MOB,ATL,1959,1952,-7,9,2001,74,57,43,302,2144,5,2213,2149,-24,0,0,,,,,,
